Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
2021-09-30,260.333343505859,263.043334960937,258.333343505859,258.493347167968,258.493347167968,53868000,TSLA
2021-10-01,259.466674804687,260.260009765625,254.529998779296,258.406677246093,258.406677246093,51094200,TSLA
2021-10-04,265.5,268.989990234375,258.706665039062,260.510009765625,260.510009765625,91449900,TSLA
2021-10-05,261.600006103515,265.769989013671,258.066680908203,260.196655273437,260.196655273437,55297800,TSLA
2021-10-06,258.733337402343,262.220001220703,257.739990234375,260.91665649414,260.91665649414,43898400,TSLA
2021-10-07,261.820007324218,268.333343505859,261.126678466796,264.536682128906,264.536682128906,57587400,TSLA
2021-10-08,265.4033203125,265.459991455078,260.303344726562,261.829986572265,261.829986572265,50215800,TSLA
2021-10-11,262.549987792968,267.079986572265,261.833343505859,263.980010986328,263.980010986328,42600900,TSLA
2021-10-12,266.976654052734,270.773345947265,265.523345947265,268.573333740234,268.573333740234,66060000,TSLA
2021-10-13,270.156677246093,271.803344726562,268.593322753906,270.359985351562,270.359985351562,42360300,TSLA
2021-10-14,271.829986572265,273.41665649414,271.116668701171,272.773345947265,272.773345947265,36741600,TSLA
2021-10-15,274.579986572265,281.070007324218,274.116668701171,281.010009765625,281.010009765625,56773800,TSLA
2021-10-18,283.929992675781,291.753326416015,283.823333740234,290.036682128906,290.036682128906,72621600,TSLA
2021-10-19,292.510009765625,292.649993896484,287.503326416015,288.08999633789,288.08999633789,52143300,TSLA
2021-10-20,288.450012207031,289.829986572265,285.793334960937,288.600006103515,288.600006103515,42096300,TSLA
2021-10-21,285.333343505859,300.0,285.16665649414,298.0,298.0,94444500,TSLA
2021-10-22,298.5,303.333343505859,296.986663818359,303.226654052734,303.226654052734,68642400,TSLA
2021-10-25,316.843322753906,348.33999633789,314.733337402343,341.619995117187,341.619995117187,188556300,TSLA
2021-10-26,341.563323974609,364.980010986328,333.813323974609,339.476654052734,339.476654052734,187245000,TSLA
2021-10-27,346.553344726562,356.959991455078,343.593322753906,345.953338623046,345.953338623046,115579500,TSLA
2021-10-28,356.103332519531,360.333343505859,351.399993896484,359.01333618164,359.01333618164,81639600,TSLA
2021-10-29,360.619995117187,371.736663818359,357.736663818359,371.333343505859,371.333343505859,89755200,TSLA
2021-11-01,381.66665649414,403.25,372.886657714843,402.863342285156,402.863342285156,168146100,TSLA
2021-11-02,386.453338623046,402.863342285156,382.0,390.66665649414,390.66665649414,128213400,TSLA
2021-11-03,392.443328857421,405.130004882812,384.206665039062,404.619995117187,404.619995117187,103885500,TSLA
2021-11-04,411.470001220703,414.496673583984,405.66665649414,409.970001220703,409.970001220703,76192200,TSLA
2021-11-05,409.333343505859,413.290008544921,402.66665649414,407.363342285156,407.363342285156,64886400,TSLA
2021-11-08,383.26333618164,399.0,377.66665649414,387.646667480468,387.646667480468,100337100,TSLA
2021-11-09,391.200012207031,391.5,337.17333984375,341.16665649414,341.16665649414,177317400,TSLA
2021-11-10,336.803344726562,359.366668701171,329.103332519531,355.983337402343,355.983337402343,128408100,TSLA
2021-11-11,367.58999633789,368.323333740234,351.559997558593,354.503326416015,354.503326416015,67189800,TSLA
2021-11-12,349.16665649414,351.5,339.733337402343,344.473327636718,344.473327636718,76719300,TSLA
2021-11-15,339.209991455078,343.993347167968,326.200012207031,337.796661376953,337.796661376953,104326800,TSLA
2021-11-16,334.43667602539,352.399993896484,334.059997558593,351.57666015625,351.57666015625,79627200,TSLA
2021-11-17,354.503326416015,373.213317871093,351.833343505859,363.003326416015,363.003326416015,94336200,TSLA
2021-11-18,368.850006103515,370.66665649414,358.33999633789,365.459991455078,365.459991455078,62696700,TSLA
2021-11-19,366.290008544921,379.573333740234,364.233337402343,379.019989013671,379.019989013671,64926900,TSLA
2021-11-22,387.443328857421,400.649993896484,377.476654052734,385.623321533203,385.623321533203,99217500,TSLA
2021-11-23,389.170013427734,393.5,354.233337402343,369.676666259765,369.676666259765,108515100,TSLA
2021-11-24,360.130004882812,377.58999633789,354.0,372.0,372.0,67680600,TSLA
2021-11-26,366.489990234375,369.593322753906,360.333343505859,360.640014648437,360.640014648437,35042700,TSLA
2021-11-29,366.996673583984,380.890014648437,366.730010986328,378.996673583984,378.996673583984,58393500,TSLA
2021-11-30,381.456665039062,389.333343505859,372.66665649414,381.586669921875,381.586669921875,81276000,TSLA
2021-12-01,386.899993896484,390.946655273437,363.586669921875,365.0,365.0,68450400,TSLA
2021-12-02,366.353332519531,371.0,352.216674804687,361.533325195312,361.533325195312,73114800,TSLA
2021-12-03,361.5966796875,363.526672363281,333.4033203125,338.323333740234,338.323333740234,92322000,TSLA
2021-12-06,333.836669921875,340.546661376953,316.833343505859,336.336669921875,336.336669921875,81663000,TSLA
2021-12-07,348.066680908203,352.556671142578,342.269989013671,350.583343505859,350.583343505859,56084700,TSLA
